ID,step,angle,time,nest_x,nest_y,nu.x,nu.y,se.mu.x,se.nu.x,se.mu.y,se.nu.y,speed,tod,dist2nest,x,y,hour
44067,44.0076245895545,0.0678911203056006,22-06-30 18:39:21.999992,505925.125596706,5330513.00106142,1040.18925328405,-333.812209459512,231.695921414254,3889.85102542501,231.695921414254,3889.85102542501,1092.43959733793,18.65,240.657053230978,506155.685843897,5330444.02432849,18
44067,224.404926521517,2.94870641938479,22-06-30 18:43:44,505925.125596706,5330513.00106142,-86.962625674009,119.421514411731,0,4452.63596086633,0,4452.63596086633,147.729470209939,18.7166666666667,284.637173656999,506198.300861698,5330433.04110129,18
44067,98.7523610467556,-0.00294635400106324,22-06-30 18:54:21.999992,505925.125596706,5330513.00106142,-1425.88346946548,662.983711326589,233.150166201957,3882.25115107202,233.150166201957,3882.25115107202,1572.47927489658,18.9,72.5760869308006,505995.76296184,5330529.66392555,18
44067,59.4259225350345,-0.299949450136441,22-06-30 18:58:46.999992,505925.125596706,5330513.00106142,-860.181818340839,448.678446373194,0,4451.18343814316,0,4451.18343814316,970.167567404732,18.9666666666667,62.2180603002937,505906.759141703,5330572.4465016,18
44067,15.6761350588856,-1.3759113919251,22-06-30 19:09:21.999992,505925.125596706,5330513.00106142,43.369668125144,156.357800067303,233.302378899145,3876.44437597136,233.302378899145,3876.44437597136,162.26117759702,19.15,117.508928522055,505863.19789674,5330612.86751354,19
44067,50.732852319423,-0.947634919072707,22-06-30 19:13:48,505925.125596706,5330513.00106142,190.689003743686,222.860659805635,0,4444.29206961019,0,4444.29206961019,293.307295916352,19.2166666666667,125.292461102396,505871.433522609,5330626.20601709,19
44067,116.477440169502,-1.49824481248016,22-06-30 19:24:21.999992,505925.125596706,5330513.00106142,288.713886582169,-695.860782642749,226.479579653442,3878.56429623127,226.479579653442,3878.56429623127,753.377685577135,19.4,116.795200971207,505922.042050717,5330629.75555047,19
44067,843.345214427321,-0.14075017196294,22-06-30 19:28:36.999992,505925.125596706,5330513.00106142,151.697186468789,-2958.78424410973,0,4452.56712470458,0,4452.56712470458,2962.67045747153,19.4666666666667,13.545683983244,505938.592490116,5330514.45994334,19
44067,186.068023075977,-0.0279542627403655,22-06-30 19:39:21.999992,505925.125596706,5330513.00106142,-54.4774051445761,-4269.46587570269,238.995815862956,3891.8800084278,238.995815862956,3891.8800084278,4269.81342115332,19.65,842.01863597692,505940.130527087,5329671.1161314,19
44067,765.924373273842,-3.09704922811062,22-06-30 19:43:55.000008,505925.125596706,5330513.00106142,-73.6310206926934,274.184416413138,0,4460.27342211215,0,4460.27342211215,283.898963386732,19.7166666666667,1027.9394801857,505935.269024656,5329485.11162875,19
44067,341.362376082405,-0.00579123192259434,22-06-30 19:54:21.999992,505925.125596706,5330513.00106142,-74.1436502870861,5520.20252463453,236.662206530743,3864.26538943691,236.662206530743,3864.26538943691,5520.70042602017,19.9,262.124787196183,505921.166934704,5330250.90616819,19
44067,164.129467865178,-0.0130434582093915,22-06-30 19:58:45.000008,505925.125596706,5330513.00106142,-36.7186065997761,3304.86122935831,0,4743.77265475486,0,4743.77265475486,3305.06520380254,19.9666666666667,79.6703776033029,505916.858487413,5330592.24135402,19
44067,69.6074593861226,-3.07213364173761,22-06-30 20:09:21.999992,505925.125596706,5330513.00106142,16.2921383499003,-91.047340464432,575.432880534298,4941.64152888491,575.432880534298,4941.64152888491,92.4935239768628,20.15,243.507779033852,505916.927716042,5330756.37080729,20
44067,85.4145179526587,-0.00990877976638149,22-06-30 20:24:21.999992,505925.125596706,5330513.00106142,20.1333857261093,-337.148050589905,845.83627257289,4912.25742403633,845.83627257289,4912.25742403633,337.748665781775,20.4,173.961254528469,505921.729405088,5330686.92916139,20
44067,81.5184309749688,0.00143084572403174,22-06-30 20:39:21.999992,505925.125596706,5330513.00106142,20.1790791131579,-341.277099205597,782.72025654125,4915.01454728264,782.72025654125,4915.01454728264,341.873154365829,20.65,88.6782263054325,505926.776889879,5330601.66391188,20
44067,16.2248839282377,0.0157801317318489,22-06-30 20:54:21.999992,505925.125596706,5330513.00106142,18.3337256541635,-275.533844463982,300.950161986997,4999.9439996864,300.950161986997,4999.9439996864,276.143124016268,20.9,9.82660717896762,505931.710570829,5330520.29491667,20
44067,1.4488501959601,1.15297187553531,22-06-30 20:58:48,505925.125596706,5330513.00106142,14.4521855599887,-137.129105351495,0,4749.7969430282,0,4749.7969430282,137.888568061177,20.9666666666667,11.8368458363919,505932.947966324,5330504.11728672,20
44067,4.79891844147377,2.10584393496818,22-06-30 21:09:21.999992,505925.125596706,5330513.00106142,-1.79791777680749,56.1866708502994,234.893592930927,3897.21246533981,234.893592930927,3897.21246533981,56.2154292838901,21.15,13.1220796845161,505934.313157572,5330503.63208599,21
44067,14.5195850905289,0.320823280749098,22-06-30 21:13:48,505925.125596706,5330513.00106142,-27.8535823572997,70.3364262572968,0,4456.224186461,0,4456.224186461,75.650742949313,21.2166666666667,9.48756389047476,505933.390056089,5330508.3413855,21
44067,3.35580715469517,-1.09630909456812,22-06-30 21:24:21.999992,505925.125596706,5330513.00106142,-18.0955319937355,58.9180612538306,233.158744206603,3875.02593539708,233.158744206603,3875.02593539708,61.6342941879473,21.4,8.05932034371776,505926.246416308,5330520.98206435,21
